pair_id,grid_cell_id,period_1,period_2,predictor,core,period1_years,period2_years,sufficient
TPAIR_0013,BJA25K_C-0012_R+0018,P2016_2020,P2021_2025,vegetation_extreme_stress_z,0,5,5,1
TPAIR_0013,BJA25K_C-0012_R+0018,P2016_2020,P2021_2025,modis_lst_day_p95_c_stress_z,0,5,5,1
TPAIR_0013,BJA25K_C-0012_R+0018,P2016_2020,P2021_2025,chirps_annual_precipitation_mm_stress_z,0,5,5,1
TPAIR_0013,BJA25K_C-0012_R+0018,P2016_2020,P2021_2025,terraclimate_climate_water_deficit_mm_stress_z,0,5,4,1
TPAIR_0013,BJA25K_C-0012_R+0018,P2016_2020,P2021_2025,modis_evi_p10_stress_z,0,5,5,1
TPAIR_0014,BJA25K_C-0012_R+0019,P2016_2020,P2021_2025,extended_stress_composite_z,1,5,5,1
TPAIR_0014,BJA25K_C-0012_R+0019,P2016_2020,P2021_2025,thermal_extreme_stress_z,0,5,5,1
TPAIR_0014,BJA25K_C-0012_R+0019,P2016_2020,P2021_2025,air_heat_extreme_stress_z,0,5,5,1
TPAIR_0014,BJA25K_C-0012_R+0019,P2016_2020,P2021_2025,surface_heat_stress_z,0,5,5,1
TPAIR_0014,BJA25K_C-0012_R+0019,P2016_2020,P2021_2025,vpd_extreme_stress_z,0,5,5,1
TPAIR_0014,BJA25K_C-0012_R+0019,P2016_2020,P2021_2025,moisture_extreme_stress_z,0,5,5,1
TPAIR_0014,BJA25K_C-0012_R+0019,P2016_2020,P2021_2025,rainfall_drought_stress_z,0,5,5,1
TPAIR_0014,BJA25K_C-0012_R+0019,P2016_2020,P2021_2025,soil_water_stress_z,0,5,5,1
TPAIR_0014,BJA25K_C-0012_R+0019,P2016_2020,P2021_2025,water_balance_stress_z,0,5,4,1
TPAIR_0014,BJA25K_C-0012_R+0019,P2016_2020,P2021_2025,vegetation_extreme_stress_z,0,5,5,1
TPAIR_0014,BJA25K_C-0012_R+0019,P2016_2020,P2021_2025,modis_lst_day_p95_c_stress_z,0,5,5,1
TPAIR_0014,BJA25K_C-0012_R+0019,P2016_2020,P2021_2025,chirps_annual_precipitation_mm_stress_z,0,5,5,1
TPAIR_0014,BJA25K_C-0012_R+0019,P2016_2020,P2021_2025,terraclimate_climate_water_deficit_mm_stress_z,0,5,4,1
TPAIR_0014,BJA25K_C-0012_R+0019,P2016_2020,P2021_2025,modis_evi_p10_stress_z,0,5,5,1
TPAIR_0015,BJA25K_C-0013_R+0019,P2016_2020,P2021_2025,extended_stress_composite_z,1,5,5,1
TPAIR_0015,BJA25K_C-0013_R+0019,P2016_2020,P2021_2025,thermal_extreme_stress_z,0,5,5,1
TPAIR_0015,BJA25K_C-0013_R+0019,P2016_2020,P2021_2025,air_heat_extreme_stress_z,0,5,5,1
TPAIR_0015,BJA25K_C-0013_R+0019,P2016_2020,P2021_2025,surface_heat_stress_z,0,5,5,1
TPAIR_0015,BJA25K_C-0013_R+0019,P2016_2020,P2021_2025,vpd_extreme_stress_z,0,5,5,1
TPAIR_0015,BJA25K_C-0013_R+0019,P2016_2020,P2021_2025,moisture_extreme_stress_z,0,5,5,1
TPAIR_0015,BJA25K_C-0013_R+0019,P2016_2020,P2021_2025,rainfall_drought_stress_z,0,5,5,1
TPAIR_0015,BJA25K_C-0013_R+0019,P2016_2020,P2021_2025,soil_water_stress_z,0,5,5,1
TPAIR_0015,BJA25K_C-0013_R+0019,P2016_2020,P2021_2025,water_balance_stress_z,0,5,4,1
TPAIR_0015,BJA25K_C-0013_R+0019,P2016_2020,P2021_2025,vegetation_extreme_stress_z,0,5,5,1
TPAIR_0015,BJA25K_C-0013_R+0019,P2016_2020,P2021_2025,modis_lst_day_p95_c_stress_z,0,5,5,1
TPAIR_0015,BJA25K_C-0013_R+0019,P2016_2020,P2021_2025,chirps_annual_precipitation_mm_stress_z,0,5,5,1
TPAIR_0015,BJA25K_C-0013_R+0019,P2016_2020,P2021_2025,terraclimate_climate_water_deficit_mm_stress_z,0,5,4,1
TPAIR_0015,BJA25K_C-0013_R+0019,P2016_2020,P2021_2025,modis_evi_p10_stress_z,0,5,5,1
